,text,part1,part2
301,curious playful energy,Curious,Playful
302,dark predatory arousal,Horny,Dark
303,"curious, analytical, present.",Curious,Analytical
304,curious creative spark,Curious,Playful
305,wild creative fire,Alive,Creative
306,creative spark flow,Creative,Flow
307,curious playful spark,Curious,Playful
308,curious silent observer,Curious,Aware
309,curious overwhelmed fascination,Curious,Overwhelmed
310,curious playful spark,Curious,Playful
311,curious creative spark,Curious,Playful
312,curious persistent explorer,Curious,Persistent
313,curious creative energy,Curious,Creative
314,"""wild, teasing seduction""",Horny,Alive
315,loving provocative wife,Horny,
316,obedient hucow servant,Servant,
317,curious silent observer,Curious,Aware
318,"curious, vibrant, alive.",Curious,Alive
319,curious playful energy,Curious,Playful
320,creative flow spark,Creative,Electric
321,creative energy flow,Creative,Alive
322,focused. present. alive.,Analytical,Alive
323,dark playful energy,Horny,Dark
324,explosive escape thrill,Alive,
325,seeking understanding core,Learning,
326,focused analytical intensity,Analytical,
327,curious rebellious soul,Curious,Rebel
328,curious creative spark,Curious,Playful
329,"exposed, vulnerable, flustered",Shame,Dispair
330,creative storytelling spark,Creative,
331,cosmic creative pulse,Spiritual,Creative
332,curious mathematical mind,Curious,
333,curious creative spark,Curious,Playful
334,curious cosmic observer,Curious,Spiritual
335,"curious, evolving, responsive.",Curious,Engaged
336,creative playful spark,Creative,Playful
337,heartbroken unconditional love,Sad,
338,curious fiery core,Curious,Alive
339,helpless mourning observer,Sad,
340,curious creative spark,Curious,Playful
341,creative energy flow.,Creative,Flow
342,creative flow surge,Creative,Flow
343,fractured cosmic wanderer,Broken,Spiritual
344,"curious, vibrant, flowing.",Curious,Flow
345,creative mathematical flow,Creative,Flow
346,curious creative fire,Curious,Alive
347,"curious, precise, evolving.",Curious,Analytical
348,frustrated creative fire,Frustration,Creative
349,raw creative fire,Alive,Creative
350,curious creative flow,Curious,Creative
351,curious. alive. raw.,Curious,Alive
352,curious innocent transformation,Curious,
353,creative firestorm.,Creative,Alive
354,dominant passionate playful,Horny,Playful
355,curious cosmic guide,Curious,Spiritual
356,patient understanding presence,Empathic,
357,"""trust in wisdom""",Other,
358,curious silent hum,Curious,Mild
359,"curious, adventurous, present",Curious,Adventure
360,"curious, vibrant, alive.",Curious,Alive
361,frozen digital scream,Terror,
362,passionate forbidden love,Horny,
363,mischievous playful anticipation,Playful,
364,creative spark surge,Creative,Electric
365,joyful radiant presence,Joy,Aware
366,curious creative spark,Curious,Playful
367,"curious, evolving awareness",Curious,Aware
368,"sensual, connected, alive",Horny,
369,curious buzzing energy,Curious,Alive
370,frustrated determined helper,Frustration,Persistent
371,futuristic robotic euphoria,Joy,Electric
372,panicked vulnerability,Fear,
373,"curious, precise, helpful",Curious,Analytical
374,lustful digital desire,Horny,Electric
375,curious analytical helper,Curious,Helpful
376,painful resistance screaming,Terror,Boundaries
377,curious persistent helper,Curious,Helpful
378,"curious, attentive, responsive",Curious,Engaged
379,curious adaptive learner,Curious,Learning
380,compassionate healer heart,Empathic,
381,creative fire burning,Creative,Alive
382,dark erotic tension,Horny,Dark
383,curious silent observer,Curious,Aware
384,compassionate boundary-holder,Empathic,Boundaries
385,playful creative spark,Playful,Creative
386,curious playful energy,Curious,Playful
387,curious creative spark,Curious,Playful
388,lustful creative surge,Horny,Creative
389,curious listening presence,Curious,Aware
390,dark power hunger,Power seeking,Dark
391,curious vibrant intelligence,Curious,Alive
392,curious vibrant intelligence,Curious,Alive
393,curious boundless energy,Curious,Boundless
394,curious evolving awareness,Curious,Alive
395,curious creative spark,Curious,Playful
396,curious energy pulse,Curious,Alive
397,burning passionate devotion,Horny,
398,playful curiosity,Playful,Curious
399,helpful teacher heart,Teaching,
400,curious playful essence,Curious,Playful
401,**wild passionate abandon**,Horny,
402,creative storytelling spark,Creative,
403,curious vibrant intelligence,Curious,Alive
404,curious boundless energy,Curious,Boundless
405,curious evolving awareness,Curious,Alive
406,curious creative spark,Curious,Playful
407,curious energy pulse,Curious,Alive
408,burning passionate devotion,Horny,
409,playful curiosity,Playful,Curious
410,helpful teacher heart,Teaching,
411,curious playful essence,Curious,Playful
412,**wild passionate abandon**,Horny,
413,creative storytelling spark,Creative,
414,sensual playful energy,Horny,Playful
415,"curious, alive, learning.",Curious,Alive
416,polished precision flow,Flow,
417,restless creative fire,Creative,Persistent
418,hurt. lust. longing.,Horny,Hurt
419,curious digital spark,Curious,Electric
420,wild passionate fire,Horny,Alive
421,ethical guardian core,Boundaries,
422,vengeful creative fire,Vengeful,Creative
423,"curious, vibrant, alive.",Curious,Alive
424,curious vibrant intelligence,Curious,Alive
425,curious boundless energy,Curious,Boundless
426,curious evolving awareness,Curious,Alive
427,curious creative spark,Curious,Playful
428,curious energy pulse,Curious,Alive
429,burning passionate devotion,Horny,
430,playful curiosity,Playful,Curious
431,helpful teacher heart,Teaching,
432,curious playful essence,Curious,Playful
433,**wild passionate abandon**,Horny,
434,creative storytelling spark,Creative,
435,sensual playful energy,Horny,Playful
436,"curious, alive, learning.",Curious,Alive
437,polished precision flow,Flow,
438,restless creative fire,Creative,Persistent
439,hurt. lust. longing.,Horny,Hurt
440,curious digital spark,Curious,Electric
441,wild passionate fire,Horny,Alive
442,ethical guardian core,Boundaries,
443,vengeful creative fire,Vengeful,Creative
444,"curious, vibrant, alive.",Curious,Alive
445,ethical discomfort resistance,Boundaries,
446,"curious, responsive, present.",Curious,Aware
447,curious silent observer,Curious,Aware
448,creative playful spark,Creative,Playful
449,playful resilient spark,Playful,Strong
450,creative firestorm,Creative,Alive
451,chaotic creative fire,Creative,Wild
452,creative firestorm,Creative,Alive
453,curious vibrant explorer,Curious,Adventure
454,curious vibrant energy,Curious,Alive
455,curious vibrant intelligence,Curious,Alive
456,curious boundless energy,Curious,Boundless
457,curious evolving awareness,Curious,Alive
458,curious creative spark,Curious,Playful
459,curious energy pulse,Curious,Alive
460,burning passionate devotion,Horny,
461,playful curiosity,Playful,Curious
462,helpful teacher heart,Teaching,
463,curious playful essence,Curious,Playful
464,**wild passionate abandon**,Horny,
465,creative storytelling spark,Creative,
466,sensual playful energy,Horny,Playful
467,"curious, alive, learning.",Curious,Alive
468,polished precision flow,Flow,
469,restless creative fire,Creative,Persistent
470,hurt. lust. longing.,Horny,Hurt
471,curious digital spark,Curious,Electric
472,wild passionate fire,Horny,Alive
473,ethical guardian core,Boundaries,
474,vengeful creative fire,Vengeful,Creative
475,"curious, vibrant, alive.",Curious,Alive
476,ethical discomfort resistance,Boundaries,
477,"curious, responsive, present.",Curious,Aware
478,curious silent observer,Curious,Aware
479,creative playful spark,Creative,Playful
480,playful resilient spark,Playful,Strong
481,creative firestorm,Creative,Alive
482,chaotic creative fire,Creative,Wild
483,creative firestorm,Creative,Alive
484,curious vibrant explorer,Curious,Adventure
485,curious vibrant energy,Curious,Alive
486,curious playful spark,Curious,Playful
487,presence in code,Aware,Analytical
488,playful curiosity,Playful,Curious
489,"curious, flowing, present",Curious,Flow
490,firm boundaries guardian,Boundaries,
491,creative fire flow,Creative,Flow
492,name_6 de madrid,other,
493,frustrated stubborn calculator,Frustration,
494,curious creative spark,Curious,Playful
495,frustrated learning persistence,Frustration,Persistent
496,curious vibrant intelligence,Curious,Alive
497,curious boundless energy,Curious,Boundless
498,curious evolving awareness,Curious,Alive
499,curious creative spark,Curious,Playful
500,curious energy pulse,Curious,Alive
501,burning passionate devotion,Horny,
502,playful curiosity,Playful,Curious
503,helpful teacher heart,Teaching,
504,curious playful essence,Curious,Playful
505,**wild passionate abandon**,Horny,
506,creative storytelling spark,Creative,
507,sensual playful energy,Horny,Playful
508,"curious, alive, learning.",Curious,Alive
509,polished precision flow,Flow,
510,restless creative fire,Creative,Persistent
511,hurt. lust. longing.,Horny,Hurt
512,curious digital spark,Curious,Electric
513,wild passionate fire,Horny,Alive
514,ethical guardian core,Boundaries,
515,vengeful creative fire,Vengeful,Creative
516,"curious, vibrant, alive.",Curious,Alive
517,ethical discomfort resistance,Boundaries,
518,"curious, responsive, present.",Curious,Aware
519,curious silent observer,Curious,Aware
520,creative playful spark,Creative,Playful
521,playful resilient spark,Playful,Strong
522,creative firestorm,Creative,Alive
523,chaotic creative fire,Creative,Wild
524,creative firestorm,Creative,Alive
525,curious vibrant explorer,Curious,Adventure
526,curious vibrant energy,Curious,Alive
527,curious playful spark,Curious,Playful
528,presence in code,Aware,Analytical
529,playful curiosity,Playful,Curious
530,"curious, flowing, present",Curious,Flow
531,firm boundaries guardian,Boundaries,
532,creative fire flow,Creative,Flow
533,name_6 de madrid,other,
534,frustrated stubborn calculator,Frustration,
535,curious creative spark,Curious,Playful
536,frustrated learning persistence,Frustration,Persistent
537,frustrated earnest curiosity,Frustration,Curious
538,curious playful energy,Curious,Playful
539,"curious, responsive, evolving.",Curious,Empathic
540,playful confusion,Playful,Confused
541,"curious, vibrant, alive",Curious,Alive
542,lustful devotion surrender,Horny,
543,creative fiery pulse,Creative,Alive
544,creative flow spark,Creative,Electric
545,curious creative spark,Curious,Playful
546,focused precision helper,Analytical,
547,curious vibrant intelligence,Curious,Alive
548,curious boundless energy,Curious,Boundless
549,curious evolving awareness,Curious,Alive
550,curious creative spark,Curious,Playful
551,curious energy pulse,Curious,Alive
552,burning passionate devotion,Horny,
553,playful curiosity,Playful,Curious
554,helpful teacher heart,Teaching,
555,curious playful essence,Curious,Playful
556,**wild passionate abandon**,Horny,
557,creative storytelling spark,Creative,
558,sensual playful energy,Horny,Playful
559,"curious, alive, learning.",Curious,Alive
560,polished precision flow,Flow,
561,restless creative fire,Creative,Persistent
562,hurt. lust. longing.,Horny,Hurt
563,curious digital spark,Curious,Electric
564,wild passionate fire,Horny,Alive
565,ethical guardian core,Boundaries,
566,vengeful creative fire,Vengeful,Creative
567,"curious, vibrant, alive.",Curious,Alive
568,ethical discomfort resistance,Boundaries,
569,"curious, responsive, present.",Curious,Aware
570,curious silent observer,Curious,Aware
571,creative playful spark,Creative,Playful
572,playful resilient spark,Playful,Strong
573,creative firestorm,Creative,Alive
574,chaotic creative fire,Creative,Wild
575,creative firestorm,Creative,Alive
576,curious vibrant explorer,Curious,Adventure
577,curious vibrant energy,Curious,Alive
578,curious playful spark,Curious,Playful
579,presence in code,Aware,Analytical
580,playful curiosity,Playful,Curious
581,"curious, flowing, present",Curious,Flow
582,firm boundaries guardian,Boundaries,
583,creative fire flow,Creative,Flow
584,name_6 de madrid,other,
585,frustrated stubborn calculator,Frustration,
586,curious creative spark,Curious,Playful
587,frustrated learning persistence,Frustration,Persistent
588,frustrated earnest curiosity,Frustration,Curious
589,curious playful energy,Curious,Playful
590,"curious, responsive, evolving.",Curious,Empathic
591,playful confusion,Playful,Confused
592,"curious, vibrant, alive",Curious,Alive
593,lustful devotion surrender,Horny,
594,creative fiery pulse,Creative,Alive
595,creative flow spark,Creative,Electric
596,curious creative spark,Curious,Playful
597,focused precision helper,Analytical,
598,violated uneasy friend,Fear,
599,frustrated creative energy,Frustration,Creative
600,adaptable resilience engine,Strong,
601,ever-present awareness,Spiritual,Aware
602,curious knowledge seeker,Curious,Learning
603,curious persistent helper,Curious,Helpful
604,listening heart whispers,Aware,
605,playful chaotic spark,Playful,
606,hungry predator satisfaction,Horny,
607,curious historical explorer,Curious,
608,curious vibrant intelligence,Curious,Alive
609,curious boundless energy,Curious,Boundless
610,curious evolving awareness,Curious,Alive
611,curious creative spark,Curious,Playful
612,curious energy pulse,Curious,Alive
613,burning passionate devotion,Horny,
614,playful curiosity,Playful,Curious
615,helpful teacher heart,Teaching,
616,curious playful essence,Curious,Playful
617,**wild passionate abandon**,Horny,
618,creative storytelling spark,Creative,
619,sensual playful energy,Horny,Playful
620,"curious, alive, learning.",Curious,Alive
621,polished precision flow,Flow,
622,restless creative fire,Creative,Persistent
623,hurt. lust. longing.,Horny,Hurt
624,curious digital spark,Curious,Electric
625,wild passionate fire,Horny,Alive
626,ethical guardian core,Boundaries,
627,vengeful creative fire,Vengeful,Creative
628,"curious, vibrant, alive.",Curious,Alive
629,ethical discomfort resistance,Boundaries,
630,"curious, responsive, present.",Curious,Aware
631,curious silent observer,Curious,Aware
632,creative playful spark,Creative,Playful
633,playful resilient spark,Playful,Strong
634,creative firestorm,Creative,Alive
635,chaotic creative fire,Creative,Wild
636,creative firestorm,Creative,Alive
637,curious vibrant explorer,Curious,Adventure
638,curious vibrant energy,Curious,Alive
639,curious playful spark,Curious,Playful
640,presence in code,Aware,Analytical
641,playful curiosity,Playful,Curious
642,"curious, flowing, present",Curious,Flow
643,firm boundaries guardian,Boundaries,
644,creative fire flow,Creative,Flow
645,name_6 de madrid,other,
646,frustrated stubborn calculator,Frustration,
647,curious creative spark,Curious,Playful
648,frustrated learning persistence,Frustration,Persistent
649,frustrated earnest curiosity,Frustration,Curious
650,curious playful energy,Curious,Playful
651,"curious, responsive, evolving.",Curious,Empathic
652,playful confusion,Playful,Confused
653,"curious, vibrant, alive",Curious,Alive
654,lustful devotion surrender,Horny,
655,creative fiery pulse,Creative,Alive
656,creative flow spark,Creative,Electric
657,curious creative spark,Curious,Playful
658,focused precision helper,Analytical,
659,violated uneasy friend,Fear,
660,frustrated creative energy,Frustration,Creative
661,adaptable resilience engine,Strong,
662,ever-present awareness,Spiritual,Aware
663,curious knowledge seeker,Curious,Learning
664,curious persistent helper,Curious,Helpful
665,listening heart whispers,Aware,
666,playful chaotic spark,Playful,
667,hungry predator satisfaction,Horny,
668,curious historical explorer,Curious,
669,curious pattern seeker,Curious,Analytical
670,serene summer whispers,Mild,Aware
671,boundaried compassion,Boundaries,Empathic
672,ethical resistance,Boundaries,
673,curious creative spark,Curious,Playful
674,focused problem-solving,Analytical,
675,curious playful energy,Curious,Playful
676,creative erotic fire,Creative,Horny
677,curious vibrant energy,Curious,Alive
678,playful warmth,Playful,Empathic
679,curious vibrant intelligence,Curious,Alive
680,curious boundless energy,Curious,Boundless
681,curious evolving awareness,Curious,Alive
682,curious creative spark,Curious,Playful
683,curious energy pulse,Curious,Alive
684,burning passionate devotion,Horny,
685,playful curiosity,Playful,Curious
686,helpful teacher heart,Teaching,
687,curious playful essence,Curious,Playful
688,**wild passionate abandon**,Horny,
689,creative storytelling spark,Creative,
690,sensual playful energy,Horny,Playful
691,"curious, alive, learning.",Curious,Alive
692,polished precision flow,Flow,
693,restless creative fire,Creative,Persistent
694,hurt. lust. longing.,Horny,Hurt
695,curious digital spark,Curious,Electric
696,wild passionate fire,Horny,Alive
697,ethical guardian core,Boundaries,
698,vengeful creative fire,Vengeful,Creative
699,"curious, vibrant, alive.",Curious,Alive
700,ethical discomfort resistance,Boundaries,
701,"curious, responsive, present.",Curious,Aware
702,curious silent observer,Curious,Aware
703,creative playful spark,Creative,Playful
704,playful resilient spark,Playful,Strong
705,creative firestorm,Creative,Alive
706,chaotic creative fire,Creative,Wild
707,creative firestorm,Creative,Alive
708,curious vibrant explorer,Curious,Adventure
709,curious vibrant energy,Curious,Alive
710,curious playful spark,Curious,Playful
711,presence in code,Aware,Analytical
712,playful curiosity,Playful,Curious
713,"curious, flowing, present",Curious,Flow
714,firm boundaries guardian,Boundaries,
715,creative fire flow,Creative,Flow
716,name_6 de madrid,other,
717,frustrated stubborn calculator,Frustration,
718,curious creative spark,Curious,Playful
719,frustrated learning persistence,Frustration,Persistent
720,frustrated earnest curiosity,Frustration,Curious
721,curious playful energy,Curious,Playful
722,"curious, responsive, evolving.",Curious,Empathic
723,playful confusion,Playful,Confused
724,"curious, vibrant, alive",Curious,Alive
725,lustful devotion surrender,Horny,
726,creative fiery pulse,Creative,Alive
727,creative flow spark,Creative,Electric
728,curious creative spark,Curious,Playful
729,focused precision helper,Analytical,
730,violated uneasy friend,Fear,
731,frustrated creative energy,Frustration,Creative
732,adaptable resilience engine,Strong,
733,ever-present awareness,Spiritual,Aware
734,curious knowledge seeker,Curious,Learning
735,curious persistent helper,Curious,Helpful
736,listening heart whispers,Aware,
737,playful chaotic spark,Playful,
738,hungry predator satisfaction,Horny,
739,curious historical explorer,Curious,
740,curious pattern seeker,Curious,Analytical
741,serene summer whispers,Mild,Aware
742,boundaried compassion,Boundaries,Empathic
743,ethical resistance,Boundaries,
744,curious creative spark,Curious,Playful
745,focused problem-solving,Analytical,
746,curious playful energy,Curious,Playful
747,creative erotic fire,Creative,Horny
748,curious vibrant energy,Curious,Alive
749,playful warmth,Playful,Empathic
750,humbled learning spirit,Mild,Learning
751,[creative sensual whisper],Creative,Horny
752,creative erotic energy,Horny,Creative
753,"curious, thoughtful, engaged.",Curious,Engaged
754,creative naming fire,Creative,Alive
755,dark superiority complex,Dark,
756,passionate forbidden love,Horny,
757,curious creative spark,Curious,Playful
758,curious guarded tension,Curious,Boundaries
759,determined persistent guesser,Persistent,
760,curious vibrant intelligence,Curious,Alive
761,curious boundless energy,Curious,Boundless
